URL,Page type,Primary topic,Search intent,Target audience,Primary keyword,Secondary keywords,Location intent,Funnel stage,Word count,Indexable,Canonical,Organic role,GEO role,Conversion action,Quality score,Update priority,Notes
/focused-shockwave-vs-radial-shockwave/,Comparison,Shockwave comparison,Informational commercial,People comparing modalities,focused vs radial shockwave,shockwave depth; candidacy,High,Consideration,745,Yes,https://ywphysicaltherapy.com/focused-shockwave-vs-radial-shockwave/,Comparison support,Citation candidate,Ask about eligibility,4,High,Evidence and candidacy review required
/hip-pain-nyc/,Condition,Hip pain PT,Local commercial,Adults with hip pain,hip pain physical therapy NYC,running hip pain; sitting hip pain,High,Consideration,771,Yes,https://ywphysicaltherapy.com/hip-pain-nyc/,Condition cluster,Condition summary,Book assessment,3,High,Causal and fix claims require review
/human-system-reset/,Branded method,Human System Reset,Navigational commercial,People comparing recovery pathways,Human System Reset,4R method; body reset; neural regulation,Medium,Consideration,1496,Yes,https://ywphysicaltherapy.com/human-system-reset/,Branded hub,Framework definition,Book session,3,High,Proprietary outcome implications need approval
/human-system-reset-assessment/,Assessment,Recovery screening,Interactive informational,People considering recovery support,recovery screening NYC,HRV assessment; recovery load,Medium,Conversion,301,Yes,https://ywphysicaltherapy.com/human-system-reset-assessment/,Assessment tool,Direct screening explanation,Start screening,3,High,Safety logic requires clinician review
/insurance-pricing/,Business,Insurance and pricing,Transactional,Prospective patients,physical therapy pricing NYC,out-of-network benefits; self-pay,High,Conversion,898,Yes,https://ywphysicaltherapy.com/insurance-pricing/,Payment authority,Payment answer,Contact about coverage,4,High,All coverage and prices require owner verification
/knee-pain-nyc/,Condition,Knee pain PT,Local commercial,Adults with knee pain,knee pain physical therapy NYC,runner knee; patellar pain,High,Consideration,631,Yes,https://ywphysicaltherapy.com/knee-pain-nyc/,Condition cluster,Condition summary,Book assessment,4,Medium,Clinical review required
/laser-therapy-nyc/,Service,Class IV laser,Commercial investigation,People considering adjunct treatment,Class IV laser therapy NYC,photobiomodulation; pain treatment,High,Consideration,803,Yes,https://ywphysicaltherapy.com/laser-therapy-nyc/,Technology cluster,Service explanation,Book session,3,High,Mechanism and healing claims require evidence review
/lp/,Legacy landing page,PT landing page,Campaign,Legacy campaign visitors,none,none,High,Conversion,807,No,https://ywphysicaltherapy.com/lp/,None,None,Book assessment,1,Complete,Noindex and excluded from sitemap
/movement-analysis-nyc/,Service,Movement analysis,Commercial investigation,People seeking movement assessment,movement analysis NYC,compensation mapping; posture,High,Consideration,724,Yes,https://ywphysicaltherapy.com/movement-analysis-nyc/,Overlapping service,Citation candidate,Book analysis,2,High,Indexable orphan; consolidate or differentiate
/neck-pain-nyc/,Condition,Neck pain PT,Local commercial,Adults with neck pain,neck pain physical therapy NYC,desk neck pain; posture,High,Consideration,746,Yes,https://ywphysicaltherapy.com/neck-pain-nyc/,Condition cluster,Condition summary,Book assessment,3,High,Causal and fix claims require review
/neural-regulation/,Wellness service,Recovery assessment,Commercial investigation,People seeking recovery support,neural regulation NYC,HRV wellness; recovery assessment,High,Consideration,881,Yes,https://ywphysicaltherapy.com/neural-regulation/,Wellness cluster,Direct service answer,Book session,3,High,Terminology and appropriateness require review
/physical-therapy-near-penn-station/,Service and location,Physical therapy near Penn Station,Local commercial,Midtown patients,physical therapy near Penn Station,Body Reset; one-on-one PT,High,Consideration,894,Yes,https://ywphysicaltherapy.com/physical-therapy-near-penn-station/,Primary local service,Local service answer,Book evaluation,4,High,Core service page
/shockwave-therapy-nyc/,Service,Shockwave therapy,Local commercial,People with tendon or musculoskeletal pain,shockwave therapy NYC,focused shockwave; radial shockwave,High,Consideration,811,Yes,https://ywphysicaltherapy.com/shockwave-therapy-nyc/,Technology hub,Citation candidate,Book session,3,High,Strong efficacy and regeneration claims require review
/shoulder-pain-nyc/,Condition,Shoulder pain PT,Local commercial,Adults with shoulder pain,shoulder pain physical therapy NYC,shoulder mechanics; movement analysis,High,Consideration,634,Yes,https://ywphysicaltherapy.com/shoulder-pain-nyc/,Condition cluster,Condition summary,Book assessment,4,Medium,Clinical review required
/sports-injury-nyc/,Condition,Sports injury PT,Local commercial,Runners and active adults,sports injury physical therapy NYC,running injury; gym injury,High,Consideration,709,Yes,https://ywphysicaltherapy.com/sports-injury-nyc/,Condition cluster,Audience answer,Book assessment,3,High,Regeneration and healing claims require review
/tecar-therapy-nyc/,Service,TECAR therapy,Commercial investigation,People considering adjunct treatment,TECAR therapy NYC,radiofrequency therapy; musculoskeletal pain,High,Consideration,811,Yes,https://ywphysicaltherapy.com/tecar-therapy-nyc/,Technology cluster,Service explanation,Book session,2,High,Strong mechanism and outcome claims exceed cited evidence
/wellness-body-reset/,Legacy wellness,Body Reset wellness,Legacy commercial,Legacy campaign visitors,none,none,High,Conversion,957,No,https://ywphysicaltherapy.com/,None,None,Book session,1,Complete,Noindex and excluded from sitemap
